0.10897,-10.835,-3.4986,-2.1843,-4.197,-2.2485,-4.2127,-3.1229,-8.2169,-6.3611,-2.6611,-2.8115
0.335,-9.8941,-6.3743,-3.2922,-6.248,-7.0577,-6.0626,-4.443,-6.372,-9.1315,-4.2641,-5.1476
-1.1294,-13.959,-3.7098,-5.1277,-7.4064,-6.6778,-4.6711,-4.7005,-8.5102,-10.132,-3.5375,-2.8852
-1.6321,-9.4519,-6.5078,-5.3765,-6.289,-6.3536,-8.0054,-4.7585,-8.2958,-5.7027,-5.2096,-3.0891
-0.29935,-9.5277,-2.1816,-5.6652,-7.8132,-6.9088,-5.1144,-4.7182,-8.5633,-9.8679,-4.7065,-3.0294
2.0185,9.2609,-4.8943,-5.6162,-2.9084,-6.8994,-4.7918,-4.537,-3.9427,0.093505,5.6658,6.589
2.7887,7.9345,-2.8182,-2.9563,-3.7043,-3.6808,-5.3932,-2.7751,-1.4319,2.1422,6.0711,2.7857
4.7915,13.621,-5.3281,1.8061,-2.5575,-4.8397,-5.6315,-3.7599,-6.7871,-3.5126,7.2244,5.3139
7.4787,9.6754,-1.3267,-0.080732,-3.2934,-4.396,-5.7986,-2.9358,-2.0586,-7.9005,9.0045,2.7744
6.9344,10.982,4.9385,-1.3163,-4.3041,-5.2309,-3.7746,-3.838,-6.0157,-3.8228,8.4272,2.6558
